id,Airline Name,Gender,Customer Type,Age,Travel Date,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Overall Satisfaction Rating,Satisfaction Level
105420,Delta Air Lines,Female,disloyal Customer,23,16-02-2017,Business travel,Eco,452,5,0,5,1,1,5,1,1,4,5,5,3,5,1,54,44,3,neutral
102956,Lufthansa,Male,Loyal Customer,57,26-08-2009,Personal Travel,Eco,719,4,4,4,1,5,4,5,5,3,2,4,4,5,5,27,28,3.93,satisfied
18510,Qatar Airways,Female,Loyal Customer,33,01-08-2015,Business travel,Business,1561,1,1,1,1,1,5,3,4,4,4,3,5,4,2,0,0,2.79,dissatisfied
14925,Singapore Airlines,Female,Loyal Customer,49,01-07-2017,Business travel,Eco Plus,315,4,4,4,4,2,2,1,4,4,4,4,2,4,2,0,8,3.21,neutral
118319,Singapore Airlines,Female,Loyal Customer,36,21-11-2020,Business travel,Business,3347,3,1,1,1,1,2,1,3,3,3,3,2,3,2,18,12,2.07,dissatisfied
75460,Emirates,Male,Loyal Customer,22,31-05-2006,Personal Travel,Eco,2342,3,2,3,3,3,3,1,3,2,4,3,4,2,3,19,0,2.79,dissatisfied
48492,Lufthansa,Female,Loyal Customer,31,16-06-2004,Business travel,Business,819,4,4,4,4,5,5,5,5,5,4,3,1,5,5,0,0,4.21,satisfied
27809,ANA All Nippon Airways,Female,disloyal Customer,15,10-07-2012,Business travel,Eco,1043,2,2,2,3,5,2,5,5,3,1,4,2,4,5,3,0,3.21,neutral
70594,ANA All Nippon Airways,Female,Loyal Customer,35,20-08-2008,Business travel,Business,2611,4,5,4,4,4,4,4,3,3,4,5,4,3,4,109,120,3.93,satisfied
30089,British Airways,Female,Loyal Customer,67,30-03-2018,Personal Travel,Eco,1192,4,5,4,1,2,4,5,5,5,4,3,5,5,5,18,24,4.07,satisfied
58779,Vistara,Male,disloyal Customer,37,13-03-2013,Business travel,Business,1182,3,3,3,4,1,3,1,1,4,1,3,1,4,1,9,0,2.36,dissatisfied
79659,British Airways,Female,Loyal Customer,40,16-06-2019,Business travel,Eco,349,1,4,4,4,1,1,1,1,3,5,3,3,3,1,0,1,2.5,dissatisfied
110293,Air France,Female,disloyal Customer,34,13-11-2023,Business travel,Business,883,3,4,4,3,5,4,2,5,5,4,5,4,5,5,0,0,4.14,satisfied
48014,Singapore Airlines,Male,Loyal Customer,40,14-01-2016,Personal Travel,Eco Plus,550,4,3,4,2,2,4,2,2,5,1,4,3,4,2,23,20,3,neutral
96517,Delta Air Lines,Female,Loyal Customer,47,07-03-2022,Personal Travel,Eco,302,4,4,4,3,2,4,5,4,4,4,4,4,4,4,23,31,3.86,satisfied
64685,Emirates,Male,disloyal Customer,41,14-10-2005,Business travel,Business,354,1,1,1,2,1,1,1,1,3,3,4,4,4,1,0,0,2,dissatisfied
64138,Emirates,Male,Loyal Customer,39,24-10-2018,Business travel,Business,1734,4,4,4,4,3,5,5,4,4,4,4,4,4,3,0,0,4,satisfied
60373,Lufthansa,Female,disloyal Customer,25,07-01-2018,Business travel,Business,1452,3,5,3,4,3,3,3,3,4,4,5,5,5,3,9,23,3.79,neutral
14849,ANA All Nippon Airways,Male,Loyal Customer,41,24-07-2017,Business travel,Business,296,0,0,0,3,2,5,3,4,4,4,4,4,4,3,0,0,2.86,dissatisfied
28319,Air India,Female,Loyal Customer,38,25-04-2003,Business travel,Business,2882,3,3,3,3,2,1,4,5,5,5,5,2,5,4,0,0,3.57,neutral
103012,Delta Air Lines,Female,Loyal Customer,50,28-11-2023,Business travel,Business,460,1,1,1,1,3,5,5,3,3,3,3,4,3,5,1,15,2.93,dissatisfied
124114,Delta Air Lines,Male,Loyal Customer,29,09-12-2003,Business travel,Business,529,1,1,1,1,5,5,5,5,4,2,5,5,4,5,4,0,3.5,neutral
107794,Lufthansa,Female,Loyal Customer,22,23-01-2018,Personal Travel,Business,349,2,4,2,1,4,2,4,4,4,5,4,4,5,4,0,0,3.5,neutral
81983,Air France,Female,Loyal Customer,13,22-10-2012,Business travel,Business,1522,1,1,1,1,1,1,1,1,3,5,3,1,4,1,0,0,1.79,very dissatisfied
53164,Singapore Airlines,Male,Loyal Customer,54,02-09-2011,Business travel,Business,612,3,3,3,3,5,2,3,5,5,5,5,4,5,3,8,0,3.86,satisfied
82042,Singapore Airlines,Male,Loyal Customer,21,26-10-2000,Personal Travel,Eco,1454,2,2,2,3,5,2,5,5,2,3,3,1,3,5,0,0,3.07,neutral
72127,British Airways,Male,Loyal Customer,28,14-07-2015,Business travel,Eco,731,2,1,1,1,2,2,2,2,3,3,2,3,3,2,14,8,2.07,dissatisfied
113046,Emirates,Male,Loyal Customer,27,02-04-2007,Business travel,Business,2076,3,3,3,3,4,4,4,4,3,4,4,4,5,4,0,1,3.71,neutral
1050,Qatar Airways,Female,Loyal Customer,69,18-06-2000,Business travel,Eco,309,5,5,5,5,1,2,3,5,5,5,5,4,5,2,0,0,4.07,satisfied
54886,Air India,Male,Loyal Customer,35,17-06-2009,Personal Travel,Eco,775,2,3,2,4,4,2,4,4,4,4,3,4,1,4,1,0,3.21,neutral
125918,Cathay Pacific,Female,Loyal Customer,60,01-05-2014,Personal Travel,Eco,861,2,2,2,3,1,3,4,4,4,2,4,4,4,4,10,10,3.07,neutral
7467,Vistara,Female,Loyal Customer,45,16-07-2006,Business travel,Business,3334,2,4,2,2,4,5,5,4,4,4,4,3,4,5,51,48,3.71,neutral
78972,Cathay Pacific,Female,Loyal Customer,57,25-06-2014,Business travel,Business,2496,0,0,0,1,3,4,5,5,5,5,5,4,5,5,0,5,3.36,neutral
126625,Indigo,Male,Loyal Customer,40,08-01-2016,Business travel,Business,602,5,5,5,5,2,5,5,5,5,5,5,3,5,4,0,0,4.57,very satisfied
114501,ANA All Nippon Airways,Female,disloyal Customer,38,23-03-2006,Business travel,Business,308,3,3,3,3,4,3,4,4,1,1,4,2,3,4,39,26,3,neutral
114813,Qatar Airways,Male,disloyal Customer,23,04-11-2007,Business travel,Eco,446,2,4,2,1,4,2,4,4,4,2,4,5,5,4,4,0,3.36,neutral
32167,Vistara,Male,disloyal Customer,39,18-07-2019,Business travel,Business,216,2,2,2,3,3,2,3,3,2,1,4,2,4,3,0,0,2.57,dissatisfied
68001,Air India,Female,Loyal Customer,52,02-08-2016,Business travel,Business,3475,2,2,2,2,4,4,4,4,4,4,4,4,4,3,0,0,3.36,neutral
117052,Cathay Pacific,Male,disloyal Customer,25,22-06-2016,Business travel,Eco,646,2,1,2,2,4,2,3,4,4,4,3,2,2,4,13,1,2.79,dissatisfied
8661,Singapore Airlines,Female,Loyal Customer,48,14-09-2005,Business travel,Business,2501,3,3,3,3,5,4,4,5,5,5,5,4,5,4,0,0,4.14,satisfied
57165,Vistara,Female,Loyal Customer,59,05-11-2000,Business travel,Business,2227,5,5,5,5,2,4,4,4,4,4,4,3,4,4,30,15,4.07,satisfied
78610,Emirates,Male,Loyal Customer,25,23-07-2009,Business travel,Business,1426,3,3,3,3,4,5,4,4,5,4,4,4,4,4,4,0,3.86,satisfied
51058,Cathay Pacific,Male,Loyal Customer,38,14-11-2018,Personal Travel,Eco,190,2,4,2,3,4,2,4,4,3,2,4,4,5,4,0,0,3.36,neutral
92027,Delta Air Lines,Male,Loyal Customer,46,01-12-2013,Business travel,Business,1532,2,2,2,2,2,4,5,5,5,5,5,5,5,4,0,0,3.79,neutral
115534,Emirates,Male,Loyal Customer,50,31-12-2010,Business travel,Eco,308,2,1,1,1,2,2,2,2,3,2,2,2,3,2,18,12,1.93,very dissatisfied
9261,Vistara,Female,Loyal Customer,38,03-04-2019,Business travel,Eco Plus,157,4,4,4,4,4,4,4,4,3,3,1,1,4,4,0,0,3.43,neutral
61033,Emirates,Female,Loyal Customer,53,11-04-2001,Business travel,Business,1506,4,4,4,4,3,4,5,5,5,5,5,4,5,5,0,0,4.43,satisfied
75930,Singapore Airlines,Male,Loyal Customer,30,18-09-2003,Business travel,Eco Plus,205,3,2,2,2,3,3,3,3,2,5,1,1,2,3,64,49,2.5,dissatisfied
112142,Air India,Male,disloyal Customer,39,13-03-2023,Business travel,Business,895,2,2,2,4,5,2,5,5,5,4,4,5,5,5,0,2,3.93,satisfied
24518,Indigo,Male,Loyal Customer,66,24-02-2006,Personal Travel,Eco Plus,516,1,4,1,2,2,1,2,2,4,4,5,5,5,2,0,37,2.86,dissatisfied
112524,Singapore Airlines,Male,Loyal Customer,45,12-06-2008,Personal Travel,Eco,909,3,5,3,2,1,3,1,1,4,4,5,3,4,1,0,0,2.86,dissatisfied
101639,British Airways,Female,disloyal Customer,25,14-10-2002,Business travel,Business,1435,5,1,5,4,1,5,1,1,4,2,5,4,5,1,1,1,3.14,neutral
85018,Delta Air Lines,Male,Loyal Customer,52,29-10-2022,Business travel,Business,1190,2,4,4,4,1,4,3,2,2,2,2,1,2,4,0,6,2.64,dissatisfied
106922,Vistara,Male,Loyal Customer,64,04-01-2002,Personal Travel,Eco,1259,4,5,4,2,2,4,2,2,4,5,3,4,4,2,20,5,3.36,neutral
32564,Singapore Airlines,Female,disloyal Customer,50,18-08-2000,Business travel,Eco,216,4,0,4,4,4,4,4,4,5,2,1,4,4,4,0,0,3.43,neutral
92242,Cathay Pacific,Female,disloyal Customer,41,22-04-2019,Business travel,Business,1670,2,1,1,2,3,2,4,3,3,5,3,4,5,3,0,0,2.93,dissatisfied
73302,Vistara,Male,Loyal Customer,26,18-03-2022,Business travel,Business,3960,1,1,1,1,4,4,4,4,4,2,5,4,4,4,45,48,3.07,neutral
42267,Vistara,Female,disloyal Customer,25,30-04-2023,Business travel,Eco,817,4,4,4,3,3,4,3,3,2,3,2,3,3,3,0,0,3.14,neutral
121358,Emirates,Female,disloyal Customer,44,27-08-2012,Business travel,Business,1670,3,3,3,4,5,3,5,5,3,2,4,2,4,5,0,8,3.64,neutral
65655,Cathay Pacific,Female,disloyal Customer,21,11-03-2019,Business travel,Business,861,4,0,4,4,1,4,1,1,3,4,4,4,5,1,0,0,2.86,dissatisfied
88062,Indigo,Male,Loyal Customer,47,22-12-2020,Business travel,Business,406,2,2,2,2,3,5,5,4,4,4,4,5,4,4,44,50,3.57,neutral
91330,Emirates,Male,Loyal Customer,31,21-06-2016,Business travel,Eco Plus,404,4,4,4,4,4,4,4,4,1,2,2,4,2,4,17,3,3.36,neutral
22031,Qatar Airways,Female,Loyal Customer,57,19-08-2013,Personal Travel,Eco Plus,500,3,5,3,2,3,4,5,5,5,3,5,4,5,5,0,0,4.07,satisfied
27921,Indigo,Male,Loyal Customer,44,29-06-2008,Personal Travel,Eco,689,3,5,3,4,5,3,2,5,4,4,5,3,5,5,0,0,4,satisfied
51947,Cathay Pacific,Male,Loyal Customer,45,28-09-2023,Business travel,Business,3100,3,3,3,3,1,1,3,4,4,4,4,3,4,1,0,0,2.93,dissatisfied
40017,British Airways,Male,disloyal Customer,13,19-04-2017,Business travel,Eco,525,2,2,2,3,3,2,3,3,3,1,3,1,4,3,0,0,2.5,dissatisfied
76392,Emirates,Male,Loyal Customer,60,04-12-2023,Personal Travel,Eco,931,0,5,0,3,4,0,3,4,4,5,5,4,5,4,0,0,3.29,neutral
118486,British Airways,Female,disloyal Customer,41,02-05-2005,Business travel,Business,304,5,5,5,3,2,5,2,2,3,4,4,4,4,2,31,19,3.57,neutral
6012,Cathay Pacific,Male,Loyal Customer,30,25-01-2020,Business travel,Business,1896,4,1,1,1,4,4,4,4,2,2,3,4,2,4,81,72,2.86,dissatisfied
30183,Indigo,Female,Loyal Customer,51,31-08-2017,Business travel,Eco Plus,261,5,4,4,4,4,3,1,5,5,5,5,1,5,1,0,0,3.71,neutral
41652,Indigo,Female,Loyal Customer,61,15-02-2023,Business travel,Eco,347,2,5,5,5,5,2,4,3,3,2,3,3,3,4,0,11,3.5,neutral
15138,Cathay Pacific,Female,Loyal Customer,32,26-02-2000,Business travel,Eco,1042,4,1,1,1,4,4,4,4,4,3,1,5,2,4,35,34,3,neutral
123589,Qatar Airways,Female,Loyal Customer,39,02-03-2008,Personal Travel,Eco,1773,4,5,4,5,5,4,5,5,2,2,3,3,1,5,14,18,3.79,neutral
114534,Lufthansa,Male,Loyal Customer,19,26-09-2017,Personal Travel,Business,342,3,1,3,2,3,3,3,3,2,1,3,1,3,3,0,0,2.43,dissatisfied
93076,Air India,Female,Loyal Customer,15,09-07-2010,Personal Travel,Eco Plus,297,1,5,1,3,5,1,5,5,5,1,1,3,4,5,67,62,3.21,neutral
96963,Emirates,Female,disloyal Customer,42,29-12-2017,Business travel,Business,883,3,3,3,3,3,3,4,3,5,2,4,3,4,3,22,27,3.29,neutral
85494,Air France,Female,Loyal Customer,16,08-02-2001,Personal Travel,Eco,332,2,5,2,1,3,2,4,3,5,4,5,4,4,3,40,52,3.36,neutral
72989,Emirates,Male,Loyal Customer,19,01-09-2023,Business travel,Business,2388,5,5,5,5,4,5,4,4,5,5,1,5,4,4,0,0,4.36,satisfied
42357,Singapore Airlines,Female,Loyal Customer,29,19-06-2023,Personal Travel,Eco,748,2,5,2,2,5,2,1,5,4,2,4,3,5,5,0,0,3.36,neutral
23040,Indigo,Female,disloyal Customer,27,12-09-2010,Business travel,Eco Plus,1080,3,3,3,3,3,3,3,3,4,1,3,3,3,3,0,0,2.93,dissatisfied
65420,British Airways,Male,disloyal Customer,22,19-05-2017,Business travel,Business,231,5,0,5,4,5,5,5,5,3,4,4,3,1,5,0,0,3.86,satisfied
65045,Qatar Airways,Female,Loyal Customer,15,12-11-2022,Personal Travel,Eco,551,3,4,3,3,4,3,4,4,1,1,4,2,1,4,3,0,2.93,dissatisfied
37373,Emirates,Male,disloyal Customer,11,25-11-2011,Business travel,Eco,972,1,1,1,3,1,1,1,1,4,3,4,2,1,1,0,0,1.79,very dissatisfied
44405,Qatar Airways,Female,Loyal Customer,34,14-03-2015,Personal Travel,Eco,265,4,3,4,3,5,4,5,5,2,5,2,1,4,5,0,23,3.71,neutral
16653,Cathay Pacific,Female,disloyal Customer,26,28-01-2004,Business travel,Eco,488,2,0,2,4,1,2,1,1,3,2,5,1,3,1,0,0,2,dissatisfied
71655,Lufthansa,Female,Loyal Customer,26,31-10-2017,Personal Travel,Eco,1144,3,5,2,2,4,2,4,4,5,4,5,3,5,4,0,0,3.71,neutral
77591,Air France,Male,Loyal Customer,53,07-12-2012,Business travel,Business,2332,5,5,5,5,5,5,5,4,4,5,4,4,4,3,0,3,4.5,very satisfied
4585,Delta Air Lines,Male,Loyal Customer,36,06-02-2012,Business travel,Business,3024,4,2,2,2,1,3,4,4,4,4,4,4,4,1,30,13,3.07,neutral
108347,Delta Air Lines,Male,Loyal Customer,32,20-10-2022,Business travel,Business,1750,1,5,4,5,1,1,1,1,1,1,2,4,3,1,0,0,2.21,dissatisfied
23400,Delta Air Lines,Male,Loyal Customer,20,04-12-2001,Personal Travel,Eco,483,2,3,2,3,5,2,5,5,5,2,3,2,4,5,91,82,3.43,neutral
31010,Indigo,Female,Loyal Customer,35,14-09-2016,Business travel,Business,2128,2,2,2,2,1,5,1,4,4,4,4,5,4,4,0,0,3.14,neutral
57513,Air India,Male,Loyal Customer,15,01-03-2009,Personal Travel,Eco,235,2,4,2,1,1,2,1,1,3,3,4,4,4,1,1,10,2.36,dissatisfied
20979,Qatar Airways,Male,Loyal Customer,52,02-07-2023,Personal Travel,Eco,689,2,5,2,3,3,2,3,3,1,1,2,2,2,3,0,0,2.43,dissatisfied
95841,Indigo,Male,Loyal Customer,45,30-11-2001,Business travel,Business,1852,1,1,1,1,5,5,4,2,2,2,2,5,2,5,0,0,2.71,dissatisfied
114684,ANA All Nippon Airways,Female,disloyal Customer,24,10-04-2009,Business travel,Eco,372,4,4,4,3,3,4,5,3,5,4,4,4,4,3,21,23,3.86,satisfied
111667,Lufthansa,Female,Loyal Customer,46,07-10-2023,Business travel,Business,3705,4,3,3,3,4,3,4,4,4,4,4,4,4,4,4,0,3.71,neutral
20101,British Airways,Male,disloyal Customer,26,26-01-2010,Business travel,Eco,416,3,0,3,3,1,3,1,1,3,5,2,3,3,1,0,9,2.29,dissatisfied
63212,Vistara,Male,Loyal Customer,28,09-12-2002,Business travel,Eco,337,4,1,1,1,4,4,4,4,1,3,2,3,2,4,3,0,2.71,dissatisfied
8256,ANA All Nippon Airways,Male,Loyal Customer,11,19-11-2021,Personal Travel,Eco,335,1,5,1,3,3,1,3,3,4,2,4,5,5,3,0,0,3.07,neutral
56161,Indigo,Male,Loyal Customer,45,14-10-2017,Business travel,Business,1400,5,5,5,5,2,5,5,4,4,4,4,3,4,5,4,9,4.29,satisfied
121196,Vistara,Male,Loyal Customer,62,27-10-2003,Personal Travel,Eco,2521,4,5,4,3,4,1,1,5,3,5,4,1,4,1,7,30,3.21,neutral
23788,Vistara,Female,Loyal Customer,34,08-06-2012,Business travel,Business,374,3,3,3,3,4,4,1,4,4,4,4,5,4,3,0,0,3.5,neutral
129579,Singapore Airlines,Male,Loyal Customer,51,12-06-2014,Business travel,Business,308,2,2,2,2,4,5,5,4,4,4,4,3,4,5,17,8,3.57,neutral
127516,Cathay Pacific,Female,Loyal Customer,58,14-04-2010,Business travel,Eco Plus,575,1,4,4,4,2,3,4,2,2,1,2,2,2,4,14,16,2.64,dissatisfied
18012,British Airways,Male,Loyal Customer,22,22-01-2016,Personal Travel,Eco,618,3,5,3,2,3,3,3,3,4,5,4,5,5,3,0,0,3.64,neutral
45561,Indigo,Male,Loyal Customer,8,09-10-2004,Business travel,Eco,1304,4,4,4,4,4,4,4,4,2,2,4,2,1,4,0,0,3.36,neutral
5228,Air India,Male,disloyal Customer,26,03-09-2015,Business travel,Business,351,4,4,4,3,2,4,2,2,4,5,4,4,5,2,4,11,3.5,neutral
18311,Qatar Airways,Female,Loyal Customer,22,28-09-2010,Personal Travel,Eco,549,4,0,4,3,3,4,1,3,3,2,5,4,5,3,15,3,3.14,neutral
59891,Emirates,Female,Loyal Customer,21,04-01-2022,Business travel,Business,3510,3,1,1,1,3,2,3,3,3,3,3,1,3,3,0,0,2.36,dissatisfied
60651,Singapore Airlines,Male,Loyal Customer,31,20-11-2006,Business travel,Business,1620,3,2,4,2,3,3,3,3,2,2,2,3,4,3,0,0,2.79,dissatisfied
51013,Delta Air Lines,Female,Loyal Customer,44,06-09-2020,Personal Travel,Eco,326,2,0,2,2,2,3,5,1,1,2,1,2,1,5,0,0,2.07,dissatisfied
91746,Qatar Airways,Male,Loyal Customer,27,10-11-2013,Business travel,Business,588,2,2,2,2,5,5,5,5,5,2,5,3,5,5,0,0,3.79,neutral
4233,Delta Air Lines,Female,Loyal Customer,47,24-03-2022,Business travel,Business,1020,3,1,3,3,2,4,5,5,5,5,5,3,5,5,0,0,3.86,satisfied
14187,Emirates,Male,Loyal Customer,24,09-05-2023,Business travel,Business,2903,3,3,3,3,3,3,3,3,4,2,2,2,2,3,0,0,2.79,dissatisfied
19669,Lufthansa,Male,Loyal Customer,67,03-09-2002,Business travel,Business,2659,1,1,1,1,1,3,3,1,1,1,1,1,1,1,0,0,1.29,very dissatisfied
31147,Qatar Airways,Male,Loyal Customer,32,14-08-2016,Business travel,Business,3037,2,2,2,2,4,4,4,4,4,1,1,3,5,4,0,0,3,neutral
128842,British Airways,Female,Loyal Customer,58,30-06-2016,Personal Travel,Eco,2475,4,4,4,3,4,1,1,3,3,3,4,1,3,1,29,10,2.79,dissatisfied
27562,Cathay Pacific,Male,Loyal Customer,12,08-10-2020,Personal Travel,Eco,978,4,5,4,5,1,4,1,1,3,4,4,5,4,1,0,0,3.29,neutral
775,Emirates,Female,Loyal Customer,56,07-03-2000,Business travel,Business,2568,3,1,1,1,5,3,2,3,3,3,3,3,3,4,0,0,2.71,dissatisfied
14070,Qatar Airways,Female,Loyal Customer,58,23-12-2002,Personal Travel,Business,371,3,5,5,1,2,3,5,1,1,5,1,3,1,3,0,0,2.79,dissatisfied
106007,Lufthansa,Male,disloyal Customer,24,04-02-2002,Business travel,Eco,791,3,3,3,3,5,3,5,5,2,1,3,1,3,5,39,6,3.21,neutral
116004,Cathay Pacific,Male,Loyal Customer,68,10-11-2023,Personal Travel,Eco,480,3,4,3,3,5,3,5,5,2,4,3,4,4,5,7,6,3.79,neutral
68886,Air France,Male,Loyal Customer,46,14-06-2020,Business travel,Business,1786,1,1,1,1,3,5,5,5,5,5,5,5,5,3,1,7,3.57,neutral
72413,Emirates,Male,Loyal Customer,43,26-08-2001,Business travel,Business,1849,2,2,2,2,2,4,4,3,3,4,3,3,3,4,0,7,2.93,dissatisfied
73604,Lufthansa,Female,Loyal Customer,55,19-08-2023,Business travel,Business,3634,0,4,0,4,4,5,5,4,4,1,1,4,4,3,0,0,3.07,neutral
48415,Air India,Female,Loyal Customer,54,09-12-2021,Personal Travel,Business,844,4,5,5,2,2,4,4,3,3,5,3,3,3,4,0,0,3.57,neutral
105708,ANA All Nippon Airways,Female,Loyal Customer,42,17-01-2018,Business travel,Business,3094,5,5,5,5,4,4,5,2,2,2,2,5,2,3,0,10,3.64,neutral
65579,Vistara,Female,Loyal Customer,47,07-02-2012,Business travel,Business,3465,1,3,3,3,3,3,4,1,1,1,1,1,1,4,13,15,2.14,dissatisfied
73058,Air France,Female,disloyal Customer,29,29-01-2017,Business travel,Business,1035,1,1,1,1,5,1,5,5,4,4,4,4,4,5,0,0,3.21,neutral
65585,ANA All Nippon Airways,Female,Loyal Customer,36,25-05-2014,Business travel,Eco,237,2,4,4,4,2,2,2,2,2,4,2,1,1,2,0,0,2.43,dissatisfied
8346,Emirates,Female,Loyal Customer,50,03-03-2007,Business travel,Business,3175,4,4,4,4,2,4,5,5,5,5,5,4,5,3,0,0,4.21,satisfied
79678,Emirates,Female,Loyal Customer,31,04-08-2023,Personal Travel,Eco,760,4,2,4,4,1,4,1,1,3,4,4,4,4,1,17,27,2.93,dissatisfied
112483,Delta Air Lines,Male,Loyal Customer,13,10-01-2019,Personal Travel,Eco,853,1,4,1,4,4,1,4,4,5,2,5,4,4,4,105,122,3.36,neutral
31698,Lufthansa,Male,disloyal Customer,24,28-06-2022,Business travel,Eco,446,3,4,4,4,5,4,5,5,4,4,4,2,4,5,0,0,4.07,satisfied
74030,Indigo,Female,Loyal Customer,60,03-10-2004,Business travel,Business,1071,2,2,2,2,4,5,1,3,3,4,3,5,3,1,0,0,2.86,dissatisfied
124931,Cathay Pacific,Female,Loyal Customer,42,20-01-2019,Personal Travel,Eco,728,2,3,2,3,5,3,4,3,3,2,3,3,3,2,0,3,2.93,dissatisfied
73924,Emirates,Female,Loyal Customer,57,31-03-2004,Business travel,Business,2585,2,2,2,2,4,4,4,4,3,5,4,4,3,4,0,0,3.36,neutral
76073,Air India,Female,Loyal Customer,42,28-05-2005,Business travel,Business,707,2,2,4,2,2,5,4,3,3,4,3,4,3,3,27,11,3.14,neutral
104623,Emirates,Male,disloyal Customer,20,14-12-2013,Business travel,Eco,861,0,0,0,5,2,0,2,2,4,3,5,3,5,2,0,0,2.36,dissatisfied
58523,Vistara,Female,Loyal Customer,51,15-01-2011,Personal Travel,Eco,719,3,5,2,4,3,5,4,4,4,2,4,4,4,3,19,0,3.64,neutral
